5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
vocs_over_over_	_n20	vocs_over_over_uprising_debriefing_n20	omuk			WARRIOR	"excited
dutiful"		Difficult to say. If Okkoto spoke the truth, Kage-sama is now in our grasp.	14	All of you did well. BROGUN will be pleased. I must send a pigeon and inform the Shogun that his SHOGNSON is in danger.	24																									
vocs_over_over_	_n21	vocs_over_over_uprising_debriefing_n21	omuk			ALCHEMIST			Hmm…then we should tread carefully.	5		0																									
vocs_over_over_	_n22	vocs_over_over_uprising_debriefing_n22	omuk			TRAPPER	thinking		I wonder how Aiko-san is doing?	6		0																									
vocs_over_over_	_n23	vocs_over_over_uprising_debriefing_n23	omuk			WARRIOR			We will re-join her and Lord Noboru and return to Edo. The Shogun will know what to do.	18		0																									
																																					
											MISSION-WORDCOUNT DE:	193		TOTAL	NINJA	TRAPPER	WARRIOR	GEISHA	ALCHEMIST	SHOGUN	SHOGUNSON	BROGUN	BROGUNSON	DAIMYO	GENERAL	NARRATOR	OFFICER	ENEMY	STATIC	SAMURAI	OFFICIAL	CIVILIAN M	CIVILIAN F	HUSBAND	GUARD1	GUARD2	FAKE
													Words	1197	76	83	338	0	171	0	0	130	0	0	250	0	0	44	39	19	0	47	0	0	0	0	0
													Lines	140	12	14	31	0	20	0	0	10	0	0	21	0	0	9	8	5	0	10	0	0	0	0	0
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
