2,3,9														
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	EN	CEN	JP	CDE	
vo_gothic_gothic_	civilian_00_	talk_npc_09	vo_gothic_gothic_civilian_00_talk_npc_09	omuk		Civilian M	unconcerned	dialog without topic	Sẽ qua thôi.	It will pass.	3		0	
vo_gothic_gothic_	civilian_00_	talk_npc_10	vo_gothic_gothic_civilian_00_talk_npc_10	omuk		Civilian M	afraid	dialog without topic	Đó là những gì tôi nghe được.	That's what I heard, at least.	6		0	
vo_gothic_gothic_	civilian_00_	talk_npc_11	vo_gothic_gothic_civilian_00_talk_npc_11	omuk		Civilian M	afraid	dialog without topic	Hush…đừng nói to quá!	Hush…don't speak too loud!	4		0	
vo_gothic_gothic_	civilian_00_	talk_npc_12	vo_gothic_gothic_civilian_00_talk_npc_12	omuk		Civilian M	afraid	dialog without topic	Đừng nó gì cả, nghe đi!	Don't say anything, you hear?	5		0	
vo_gothic_gothic_	civilian_00_	talk_npc_13	vo_gothic_gothic_civilian_00_talk_npc_13	omuk		Civilian M	afraid	dialog without topic	Nhưng sao chúng lại làm thế?	But why did they do that?	6		0	
vo_gothic_gothic_	civilian_00_	talk_npc_14	vo_gothic_gothic_civilian_00_talk_npc_14	omuk		Civilian M	afraid	dialog without topic	Rồi chuyện gì đã xảy ra?	Wh…what happened then?	3		0	
vo_gothic_gothic_	civilian_00_	talk_npc_confirm_00	vo_gothic_gothic_civilian_00_talk_npc_confirm_00	omuk		Civilian M	submissive	receives orders	Vâng thưa ngài.	Yes, my lord.	3		0	
vo_gothic_gothic_	civilian_00_	talk_npc_confirm_01	vo_gothic_gothic_civilian_00_talk_npc_confirm_01	omuk		Civilian M	submissive	receives orders	Tôi đã hiểu.	I understand.	2		0	
vo_gothic_gothic_	civilian_00_	talk_npc_confirm_02	vo_gothic_gothic_civilian_00_talk_npc_confirm_02	omuk		Civilian M	submissive	receives orders	Vâng dĩ nhiên.	Yes, of course.	3		0	
vo_gothic_gothic_	civilian_00_	talk_npc_confirm_03	vo_gothic_gothic_civilian_00_talk_npc_confirm_03	omuk		Civilian M	submissive	receives orders	Đã rõ.	Understood.	1		0	
vo_gothic_gothic_	civilian_00_	talk_npc_confirm_04	vo_gothic_gothic_civilian_00_talk_npc_confirm_04	omuk		Civilian M	submissive	receives orders	Như ngài muốn.	As you wish.	3		0	
vo_gothic_gothic_	civilian_00_	talk_npc_confirm_05	vo_gothic_gothic_civilian_00_talk_npc_confirm_05	omuk		Civilian M	submissive	receives orders	Như lệnh của ngài.	As you command.	3		0	
vo_gothic_gothic_	civilian_00_	talk_npc_bathhouse_gossip_00	vo_gothic_gothic_civilian_00_talk_npc_bathhouse_gossip_00	omuk		Civilian M	submissive	receives orders	Oh, Thời khắc đen tối.	Oh, these are dark times…	3		0	
vo_gothic_gothic_	civilian_00_	talk_npc_bathhouse_gossip_01	vo_gothic_gothic_civilian_00_talk_npc_bathhouse_gossip_01	omuk		Civilian M	submissive	receives orders	Thật hả? Con trai Mạc Chúa đã bị sát hại ư?	So it's true? The Shogun's son has been murdered?	2		0	
vo_gothic_gothic_	civilian_00_	talk_npc_bathhouse_gossip_02	vo_gothic_gothic_civilian_00_talk_npc_bathhouse_gossip_02	omuk		Civilian M	submissive	receives orders	Không an toàn để ra khỏi nhà.	It's not safe to go outside.	3		0	
vo_gothic_gothic_	civilian_00_	talk_npc_bathhouse_gossip_03	vo_gothic_gothic_civilian_00_talk_npc_bathhouse_gossip_03	omuk		Civilian M	submissive	receives orders	Tôi nghe Mạc Chúa đang tới Kyōto.	I heard the Shogun is on his way to Kyōto.	1		0	
vo_gothic_gothic_	civilian_00_	talk_npc_bathhouse_gossip_04	vo_gothic_gothic_civilian_00_talk_npc_bathhouse_gossip_04	omuk		Civilian M	submissive	receives orders	Tôi thấy họ đang truy lùng kẻ giết người.	I see they are looking for the killers.	3		0	
vo_gothic_gothic_	civilian_00_	talk_npc_bathhouse_gossip_05	vo_gothic_gothic_civilian_00_talk_npc_bathhouse_gossip_05	omuk		Civilian M	submissive	receives orders	Có biết là con trai Mạc Chúa ở đây không?	Did you know Lord Noboru's son is here?	3		0	
vo_gothic_gothic_	civilian_00_	talk_npc_bathhouse_gossip_06	vo_gothic_gothic_civilian_00_talk_npc_bathhouse_gossip_06	omuk		Civilian M	submissive	receives orders	Cẩn thận. Tránh xa mấy hẻm tối ra.	Be wary. Keep away from dark alleys.	3		0	
vo_eny_eny_	civilian_00_	urinate_00	vo_eny_eny_civilian_00_urinate_00	omuk		Civilian M		(sound) takes a piss, relieved sigh			0		0	
vo_eny_eny_	civilian_00_	whimper_00	vo_eny_eny_civilian_00_whimper_00	omuk		Civilian M		(sound) fearful whimper			0		0	
vo_eny_eny_	civilian_00_	whistle_00	vo_eny_eny_civilian_00_whistle_00	omuk		Civilian M		(sound) whistles a tune			0		0	
vo_eny_eny_	civilian_00_	wipesweat_00	vo_eny_eny_civilian_00_wipesweat_00	omuk		Civilian M		(sound) wipe swat from brow during hard work			0		0	
vo_eny_eny_	civilian_00_	yawn_00	vo_eny_eny_civilian_00_yawn_00	omuk		Civilian M		(sound) yawn			0		0	
														
									WORDCOUNT EN:	WORDCOUNT EN:	405	405	WORDCOUNT DE:	3
